facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
Cardiology Specialty Center,297,19.31972789115646,276658.83,222139.04
City General Hospital,312,19.5630081300813,295508.13,236798.5
Community Health Clinic,328,20.16078431372549,334992.21,269207.92
Emergency Medical Center,299,19.66868686868687,310735.25,248439.2
Northside Urgent Care,305,20.137014314928425,297283.06,236839.71
Oncology Treatment Center,324,19.3811394891945,334927.3,267183.95
Pediatric Care Center,326,19.811676082862522,361811.04,291790.95
Primary Care Clinic,316,20.102970297029703,323315.71,260297.44
Regional Medical Center,309,20.209205020920503,316284.98,251750.43
Surgical Specialty Center,340,20.778181818181817,349909.18,278503.38
